name,address,type,no_bedrooms,no_bathrooms,area,latitude,longitude,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
"Serena Casa Dora Townhouse 2","Serena, Casa Dora, Dubai","Townhouse",4,5,2200,25.0115,55.2705,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000
"The Meadows 9 Type 7 Villa","Meadows 9, Meadows, Dubai","Villa",5,6,3970,25.0650,55.1700,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"The Meadows 2 Type 5 Villa","Meadows 2, Meadows, Dubai","Villa",4,5,3500,25.0650,55.1700,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Springs 14 End Unit","Springs 14, The Springs, Dubai","Villa",3,4,1794,25.0520,55.1810,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000
"Springs 6 Lake View","Springs 6, The Springs, Dubai","Villa",4,5,2456,25.0520,55.1810,6200000,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000
"Zulal 1, The Lakes","Zulal 1, The Lakes, Dubai","Villa",3,4,3200,25.0812,55.1632,8200000,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000
"Deema 2, The Lakes","Deema 2, The Lakes, Dubai","Villa",4,5,4019,25.0812,55.1632,11000000,10750000,10500000,10250000,10000000,9750000,9500000,9250000,9000000,8750000,8500000
"Saheel 1, Arabian Ranches","Saheel 1, Arabian Ranches, Dubai","Villa",5,6,5127,25.0456,55.2708,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000
"Alma 2, Arabian Ranches","Alma 2, Arabian Ranches, Dubai","Villa",3,4,3200,25.0456,55.2708,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Samara, Arabian Ranches 2","Samara, Arabian Ranches 2, Dubai","Villa",4,5,3076,25.0456,55.2708,6200000,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000
"Lila, Arabian Ranches 2","Lila, Arabian Ranches 2, Dubai","Villa",4,5,3839,25.0456,55.2708,6700000,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000
"Ruba, Arabian Ranches 3","Ruba, Arabian Ranches 3, Dubai","Townhouse",4,5,3000,25.0456,55.2708,5200000,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000
"Joy, Arabian Ranches 3","Joy, Arabian Ranches 3, Dubai","Townhouse",3,4,2500,25.0456,55.2708,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Legacy Large, Jumeirah Park","Legacy Large, Jumeirah Park, Dubai","Villa",5,6,4689,25.0492,55.1801,12000000,11725000,11400000,11100000,10800000,10500000,10200000,9900000,9600000,9300000,9000000
"Regional, Jumeirah Park","Regional, Jumeirah Park, Dubai","Villa",4,5,3500,25.0492,55.1801,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"Esmeralda, Victory Heights","Esmeralda, Victory Heights, Dubai Sports City, Dubai","Villa",6,7,6744,25.0478,55.2211,9800000,9500000,9200000,8900000,8600000,8300000,8000000,7700000,7400000,7100000,6800000
"Carmen, Victory Heights","Carmen, Victory Heights, Dubai Sports City, Dubai","Villa",5,6,5000,25.0478,55.2211,7500000,7300000,7100000,6900000,6700000,6500000,6300000,6100000,5900000,5700000,5500000
"Hacienda, The Villa","Hacienda, The Villa, Dubai","Villa",5,6,5000,25.0730,55.3830,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"Ponderosa, The Villa","Ponderosa, The Villa, Dubai","Villa",6,7,5700,25.0730,55.3830,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000
"Green Community West Phase 3","Green Community West, Dubai","Villa",5,6,6000,25.0160,55.2210,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Green Community East Bungalow","Green Community East, Dubai","Villa",4,5,4500,25.0160,55.2210,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Mudon Al Salam Townhouse","Al Salam, Mudon, Dubai","Townhouse",4,5,3800,25.0165,55.2770,5200000,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000
"Mudon Naseem Villa","Naseem, Mudon, Dubai","Villa",3,4,3200,25.0165,55.2770,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Mira 1 Type 2E","Mira 1, Reem, Dubai","Townhouse",3,4,2500,25.0450,55.2700,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000
"Mira 3 Type 3M","Mira 3, Reem, Dubai","Townhouse",4,5,2800,25.0450,55.2700,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000
"Mira Oasis 2 Type J","Mira Oasis 2, Reem, Dubai","Townhouse",3,4,2300,25.0455,55.2705,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"Mira Oasis 3 Type H","Mira Oasis 3, Reem, Dubai","Townhouse",4,5,2600,25.0455,55.2705,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000
"Al Furjan Quortaj Style","Quortaj, Al Furjan, Dubai","Villa",5,6,6000,25.0470,55.1400,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Furjan Dubai Style","Dubai Style, Al Furjan, Dubai","Villa",4,5,4500,25.0470,55.1400,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Cherrywoods Corner Unit","Cherrywoods, Dubai","Townhouse",4,5,2800,25.0110,55.2200,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000
"Cherrywoods Middle Unit","Cherrywoods, Dubai","Townhouse",3,4,2400,25.0110,55.2200,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"La Rosa 3 Townhouse","La Rosa 3, Villanova, Dubai","Townhouse",3,4,2200,25.0130,55.2700,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000
"La Rosa 4 Townhouse","La Rosa 4, Villanova, Dubai","Townhouse",4,5,2600,25.0130,55.2700,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000
"La Quinta 2, Villanova","La Quinta 2, Villanova, Dubai","Villa",5,6,5000,25.0135,55.2705,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"La Quinta 3, Villanova","La Quinta 3, Villanova, Dubai","Villa",4,5,4000,25.0135,55.2705,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000
"Amaranta 2 Townhouse","Amaranta 2, Villanova, Dubai","Townhouse",3,4,2100,25.0140,55.2710,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000
"Amaranta 3 Townhouse","Amaranta 3, Villanova, Dubai","Townhouse",4,5,2500,25.0140,55.2710,2900000,2850000,2800000,2750000,2700000,2650000,2600000,2550000,2500000,2450000,2400000
"Noor Townhouses, Town Square","Noor Townhouses, Town Square, Dubai","Townhouse",3,4,2026,24.8572,55.2708,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000
"Safi Townhouses, Town Square","Safi Townhouses, Town Square, Dubai","Townhouse",4,5,2200,24.8572,55.2708,2800000,2750000,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000
"Serena Bella Casa Townhouse","Bella Casa, Serena, Dubai","Townhouse",3,4,1800,25.0115,55.2705,1900000,1850000,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000
"Serena Casa Viva Townhouse","Casa Viva, Serena, Dubai","Townhouse",4,5,2200,25.0115,55.2705,2300000,2250000,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000
"Al Barari Villas","Al Barari, Dubai","Villa",6,7,12000,25.0670,55.3150,35000000,34000000,33000000,32000000,31000000,30000000,29000000,28000000,27000000,26000000,25000000
"Seventh Heaven Villas","Al Barari, Dubai","Villa",5,6,10000,25.0670,55.3150,30000000,29000000,28000000,27000000,26000000,25000000,24000000,23000000,22000000,21000000,20000000
"The Reserve","Al Barari, Dubai","Villa",7,8,15000,25.0670,55.3150,45000000,44000000,43000000,42000000,41000000,40000000,39000000,38000000,37000000,36000000,35000000
"Ashjar","Al Barari, Dubai","Villa",4,5,8000,25.0670,55.3150,25000000,24000000,23000000,22000000,21000000,20000000,19000000,18000000,17000000,16000000,15000000
"Mohammed Bin Rashid City (MBR City)","MBR City, Dubai","Villa",5,6,12000,25.0700,55.3200,40000000,39000000,38000000,37000000,36000000,35000000,34000000,33000000,32000000,31000000,30000000
"District One Villas","MBR City, Dubai","Villa",6,7,14000,25.0700,55.3200,50000000,49000000,48000000,47000000,46000000,45000000,44000000,43000000,42000000,41000000,40000000
"Sobha Hartland Villas","MBR City, Dubai","Villa",4,5,9000,25.0700,55.3200,30000000,29000000,28000000,27000000,26000000,25000000,24000000,23000000,22000000,21000000,20000000
"Sobha Reserve","MBR City, Dubai","Villa",5,6,11000,25.0700,55.3200,35000000,34000000,33000000,32000000,31000000,30000000,29000000,28000000,27000000,26000000,25000000
"Nshama Townhouses","Town Square, Dubai","Townhouse",3,4,2500,25.0500,55.2700,2500000,2400000,2300000,2200000,2100000,2000000,1900000,1800000,1700000,1600000,1500000
"La Mer Villas (Port De La Mer)","La Mer, Jumeirah, Dubai","Villa",4,5,5000,25.0800,55.1500,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"Jebel Ali Village Villas","Jebel Ali Village, Dubai","Villa",5,6,6000,25.0100,55.1000,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Jebel Ali Hills","Jebel Ali, Dubai","Villa",6,7,7000,25.0100,55.1000,10000000,9500000,9000000,8500000,8000000,7500000,7000000,6500000,6000000,5500000,5000000
"Al Wasl Villas","Al Wasl, Dubai","Villa",4,5,4000,25.2000,55.2500,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000
"Meydan Villas","Meydan, Dubai","Villa",5,6,5000,25.1500,55.3000,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"Meydan South","Meydan, Dubai","Villa",4,5,4500,25.1500,55.3000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000
"Hartland Estates","MBR City, Dubai","Villa",6,7,14000,25.0700,55.3200,45000000,44000000,43000000,42000000,41000000,40000000,39000000,38000000,37000000,36000000,35000000
"Hartland Forest Villas","MBR City, Dubai","Villa",5,6,12000,25.0700,55.3200,40000000,39000000,38000000,37000000,36000000,35000000,34000000,33000000,32000000,31000000,30000000
"Hartland Gardenia Villas","MBR City, Dubai","Villa",4,5,10000,25.0700,55.3200,30000000,29000000,28000000,27000000,26000000,25000000,24000000,23000000,22000000,21000000,20000000
"Al Awir Villas","Al Awir, Dubai","Villa",5,6,6000,25.3000,55.5000,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Dubai Investment Park Villas","DIP, Dubai","Villa",4,5,5000,25.0000,55.2000,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Green Community","DIP, Dubai","Villa",5,6,6000,25.0000,55.2000,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Green Community East","DIP, Dubai","Villa",4,5,4500,25.0000,55.2000,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Green Community West","DIP, Dubai","Villa",5,6,6000,25.0000,55.2000,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Dubai Motor City Villas","Motor City, Dubai","Villa",4,5,5000,25.0500,55.2500,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Victory Heights Villas","Sports City, Dubai","Villa",5,6,6000,25.0500,55.2500,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Dubai Studio City Villas","Studio City, Dubai","Villa",4,5,4500,25.0500,55.2500,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Dubai Production City Villas","Production City, Dubai","Villa",5,6,5000,25.0500,55.2500,7500000,7300000,7100000,6900000,6700000,6500000,6300000,6100000,5900000,5700000,5500000
"Dubailand Oasis","Dubailand, Dubai","Villa",6,7,7000,25.1000,55.3000,10000000,9500000,9000000,8500000,8000000,7500000,7000000,6500000,6000000,5500000,5000000
"Al Khail Heights Villas","Al Khail Heights, Dubai","Villa",4,5,4000,25.1500,55.2500,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"Al Jaddaf Villas","Al Jaddaf, Dubai","Villa",5,6,5000,25.2000,55.3000,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Wasl Gate Villas","Wasl Gate, Dubai","Villa",4,5,4500,25.2500,55.3500,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Wasl 1 Residences Villas","Wasl 1, Dubai","Villa",5,6,6000,25.3000,55.4000,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Maktoum Villas","Al Maktoum, Dubai","Villa",6,7,7000,25.3500,55.4500,10000000,9500000,9000000,8500000,8000000,7500000,7000000,6500000,6000000,5500000,5000000
"Palm Jumeirah Signature Villas","Palm Jumeirah, Dubai","Villa",6,7,8000,25.1122,55.1386,30000000,29000000,28000000,27000000,26000000,25000000,24000000,23000000,22000000,21000000,20000000
"Frond N Villas","Palm Jumeirah, Dubai","Villa",7,8,10000,25.1122,55.1386,35000000,34000000,33000000,32000000,31000000,30000000,29000000,28000000,27000000,26000000,25000000
"Frond M Villas","Palm Jumeirah, Dubai","Villa",6,7,9500,25.1122,55.1386,32000000,31000000,30000000,29000000,28000000,27000000,26000000,25000000,24000000,23000000,22000000
"Frond P Villas","Palm Jumeirah, Dubai","Villa",7,8,11000,25.1122,55.1386,37000000,36000000,35000000,34000000,33000000,32000000,31000000,30000000,29000000,28000000,27000000
"Jumeirah Islands Villas","Jumeirah Islands, Dubai","Villa",5,6,7000,25.0700,55.1500,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"Jumeirah Golf Estates Villas","Jumeirah Golf Estates, Dubai","Villa",5,6,6500,25.0490,55.1840,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000
"Emirates Hills Villas","Emirates Hills, Dubai","Villa",8,10,16000,25.0670,55.1630,55000000,54000000,53000000,52000000,51000000,50000000,49000000,48000000,47000000,46000000,45000000
"The Villa Project Villas","The Villa Project, Dubai","Villa",5,6,6000,25.0730,55.3830,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Meadows 1 Villas","Meadows, Dubai","Villa",5,6,6500,25.0650,55.1700,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000
"Meadows 2 Villas","Meadows, Dubai","Villa",6,7,7000,25.0650,55.1700,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000
"Arabian Ranches 1 Villas","Arabian Ranches, Dubai","Villa",5,6,6000,25.0456,55.2708,10000000,9700000,9400000,9100000,8800000,8500000,8200000,7900000,7600000,7300000,7000000
"Arabian Ranches 2 Villas","Arabian Ranches, Dubai","Villa",4,5,5000,25.0456,55.2708,8500000,8200000,7900000,7600000,7300000,7000000,6700000,6400000,6100000,5800000,5500000
"Sidra Villas","Dubai Hills Estate, Dubai","Villa",5,6,6000,25.0995,55.2760,11000000,10700000,10400000,10100000,9800000,9500000,9200000,8900000,8600000,8300000,8000000
"Maple Villas","Dubai Hills Estate, Dubai","Villa",4,5,5000,25.0995,55.2760,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Dubai Creek Villas","Dubai Creek Harbour, Dubai","Villa",5,6,6500,25.2050,55.3430,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000
"Dubai Creek Residences Villas","Dubai Creek Harbour, Dubai","Villa",6,7,7500,25.2050,55.3430,16000000,15500000,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000
"Jumeirah Bay Island Villas","Jumeirah Bay Island, Dubai","Villa",7,8,10000,25.2220,55.2500,40000000,39000000,38000000,37000000,36000000,35000000,34000000,33000000,32000000,31000000,30000000
"Bluewaters Island Villas","Bluewaters Island, Dubai","Villa",6,7,8000,25.0750,55.1230,30000000,29000000,28000000,27000000,26000000,25000000,24000000,23000000,22000000,21000000,20000000
"The Lakes Villas","The Lakes, Dubai","Villa",5,6,6000,25.0812,55.1632,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000
"The Springs 2 Villas","The Springs, Dubai","Villa",3,4,3500,25.0520,55.1810,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"The Springs 4 Villas","The Springs, Dubai","Villa",3,4,3500,25.0520,55.1810,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000
"The Greens Villas","The Greens, Dubai","Villa",4,5,5000,25.0820,55.1650,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"The Views Villas","The Views, Dubai","Villa",5,6,6000,25.0830,55.1680,11000000,10700000,10400000,10100000,9800000,9500000,9200000,8900000,8600000,8300000,8000000
"Damac Hills Villas","Damac Hills, Dubai","Villa",4,5,5000,25.0030,55.2470,8000000,7700000,7400000,7100000,6800000,6500000,6200000,5900000,5600000,5300000,5000000
"Damac Hills 2 Villas","Damac Hills 2, Dubai","Villa",5,6,6000,24.8850,55.3040,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Tilal Al Ghaf Villas","Tilal Al Ghaf, Dubai","Villa",5,6,6000,25.0260,55.2320,10000000,9700000,9400000,9100000,8800000,8500000,8200000,7900000,7600000,7300000,7000000
"Mudon Villas","Mudon, Dubai","Villa",4,5,5000,25.0100,55.2700,7500000,7200000,6900000,6600000,6300000,6000000,5700000,5400000,5100000,4800000,4500000
"Reem Mira Villas","Reem, Dubai","Villa",4,5,4500,25.0150,55.2800,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Serena Villas","Serena, Dubai","Villa",3,4,3500,25.0180,55.2900,4500000,4300000,4100000,3900000,3700000,3500000,3300000,3100000,2900000,2700000,2500000
"Arabian Ranches 3 Villas","Arabian Ranches 3, Dubai","Villa",4,5,5500,25.0456,55.2708,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Villanova Villas","Villanova, Dubai","Villa",4,5,4800,25.0200,55.3000,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"Al Furjan Villas","Al Furjan, Dubai","Villa",4,5,4500,25.0470,55.1400,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Living Legends Villas","Living Legends, Dubai","Villa",5,6,6000,25.1900,55.4100,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Falconcity of Wonders Villas","Falconcity of Wonders, Dubai","Villa",6,7,7000,25.0300,55.3100,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Dubai South Villas","Dubai South, Dubai","Villa",4,5,5000,24.8897,55.1571,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Akoya Oxygen Villas","Akoya Oxygen, Dubai","Villa",4,5,4500,25.0030,55.2470,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Town Square Villas","Town Square, Dubai","Villa",4,5,4800,24.8572,55.2708,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"Mohammed Bin Rashid Al Maktoum City Villas","Mohammed Bin Rashid Al Maktoum City, Dubai","Villa",7,8,12000,25.1700,55.2880,40000000,39000000,38000000,37000000,36000000,35000000,34000000,33000000,32000000,31000000,30000000
"Jumeirah Village Triangle Villas","JVT, Dubai","Villa",4,5,4000,25.0571,55.2111,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000,3000000
"Jumeirah Village Circle Villas","JVC, Dubai","Villa",4,5,4500,25.0571,55.2111,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Dubai Sports City Villas","Dubai Sports City, Dubai","Villa",5,6,5500,25.0478,55.2211,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Dubai Silicon Oasis Villas","Dubai Silicon Oasis, Dubai","Villa",4,5,4500,25.1299,55.3821,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000,3000000
"Dubai International City Villas","International City, Dubai","Villa",4,5,4000,25.1572,55.4053,4500000,4300000,4100000,3900000,3700000,3500000,3300000,3100000,2900000,2700000,2500000
"Dubai Festival City Villas","Festival City, Dubai","Villa",5,6,6000,25.2220,55.3610,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Dubai Healthcare City Villas","Healthcare City, Dubai","Villa",5,6,5500,25.2215,55.3270,8000000,7700000,7400000,7100000,6800000,6500000,6200000,5900000,5600000,5300000,5000000
"Dubai Media City Villas","Media City, Dubai","Villa",5,6,6000,25.0920,55.1540,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000
"Dubai Internet City Villas","Internet City, Dubai","Villa",5,6,5500,25.0920,55.1540,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000,6500000,6000000
"Dubai Knowledge Park Villas","Knowledge Park, Dubai","Villa",4,5,5000,25.0920,55.1540,10000000,9700000,9400000,9100000,8800000,8500000,8200000,7900000,7600000,7300000,7000000
"Umm Suqeim Villas","Umm Suqeim, Dubai","Villa",6,7,7000,25.1500,55.2000,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"Al Safa Villas","Al Safa, Dubai","Villa",5,6,6500,25.1800,55.2500,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000
"Jumeirah 1 Villas","Jumeirah 1, Dubai","Villa",6,7,7500,25.2200,55.2500,18000000,17500000,17000000,16500000,16000000,15500000,15000000,14500000,14000000,13500000,13000000
"Jumeirah 2 Villas","Jumeirah 2, Dubai","Villa",6,7,8000,25.2200,55.2500,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000,15500000,15000000
"Jumeirah 3 Villas","Jumeirah 3, Dubai","Villa",7,8,9000,25.2200,55.2500,22000000,21500000,21000000,20500000,20000000,19500000,19000000,18500000,18000000,17500000,17000000
"Al Satwa Villas","Al Satwa, Dubai","Villa",5,6,5500,25.2200,55.2700,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Al Barsha 1 Villas","Al Barsha 1, Dubai","Villa",5,6,6000,25.1050,55.2000,10000000,9700000,9400000,9100000,8800000,8500000,8200000,7900000,7600000,7300000,7000000
"Al Barsha 2 Villas","Al Barsha 2, Dubai","Villa",5,6,5800,25.1050,55.2000,9500000,9200000,8900000,8600000,8300000,8000000,7700000,7400000,7100000,6800000,6500000
"Al Barsha 3 Villas","Al Barsha 3, Dubai","Villa",5,6,5500,25.1050,55.2000,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Al Sufouh Villas","Al Sufouh, Dubai","Villa",6,7,7000,25.1200,55.1700,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"Al Quoz Villas","Al Quoz, Dubai","Villa",5,6,6000,25.1300,55.2300,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Dubai Investment Park 1 Villas","DIP 1, Dubai","Villa",4,5,5000,25.0000,55.2000,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Dubai Investment Park 2 Villas","DIP 2, Dubai","Villa",4,5,4800,25.0000,55.2000,6200000,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000
"Dubai Land Residence Complex Villas","Dubai Land Residence Complex, Dubai","Villa",4,5,4500,25.0500,55.3000,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Nad Al Sheba 1 Villas","Nad Al Sheba 1, Dubai","Villa",6,7,7000,25.1550,55.3710,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Nad Al Sheba 2 Villas","Nad Al Sheba 2, Dubai","Villa",6,7,7500,25.1550,55.3710,10000000,9700000,9400000,9100000,8800000,8500000,8200000,7900000,7600000,7300000,7000000
"Nad Al Sheba 3 Villas","Nad Al Sheba 3, Dubai","Villa",7,8,8000,25.1550,55.3710,11000000,10700000,10400000,10100000,9800000,9500000,9200000,8900000,8600000,8300000,8000000
"Nad Al Sheba 4 Villas","Nad Al Sheba 4, Dubai","Villa",7,8,9000,25.1550,55.3710,12000000,11700000,11400000,11100000,10800000,10500000,10200000,9900000,9600000,9300000,9000000
"Jumeirah Heights Villas","Jumeirah Heights, Dubai","Villa",5,6,6000,25.0750,55.1550,11000000,10700000,10400000,10100000,9800000,9500000,9200000,8900000,8600000,8300000,8000000
"Jumeirah Beach Residence Villas","JBR, Dubai","Villa",5,6,6500,25.0805,55.1372,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000
"Dubai Marina Villas","Dubai Marina, Dubai","Villa",5,6,6000,25.0800,55.1400,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000
"Business Bay Villas","Business Bay, Dubai","Villa",5,6,6500,25.1841,55.2722,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000
"Dubai Downtown Villas","Downtown Dubai, Dubai","Villa",6,7,7500,25.1972,55.2744,18000000,17500000,17000000,16500000,16000000,15500000,15000000,14500000,14000000,13500000,13000000
"Dubai Hills View Villas","Dubai Hills View, Dubai","Villa",5,6,6000,25.0995,55.2760,10000000,9700000,9400000,9100000,8800000,8500000,8200000,7900000,7600000,7300000,7000000
"Dubai Hills Grove Villas","Dubai Hills Grove, Dubai","Villa",6,7,7000,25.0995,55.2760,12000000,11700000,11400000,11100000,10800000,10500000,10200000,9900000,9600000,9300000,9000000
"Dubai Hills Park Villas","Dubai Hills Park, Dubai","Villa",5,6,6000,25.0995,55.2760,10000000,9700000,9400000,9100000,8800000,8500000,8200000,7900000,7600000,7300000,7000000
"Jumeirah Park Legacy Villas","Jumeirah Park Legacy, Dubai","Villa",5,6,6500,25.0492,55.1801,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000
"Jumeirah Park Nova Villas","Jumeirah Park Nova, Dubai","Villa",5,6,6000,25.0492,55.1801,11000000,10700000,10400000,10100000,9800000,9500000,9200000,8900000,8600000,8300000,8000000
